"SITE_ID","Lat","Lon","DOC_Median","TN_Median","TP_Median","TNtoTP_Median"
"OKSS-1403",34.36535,-94.46714,2.21,85,23,3.695652174
"OKSS-1405",35.98696,-94.91589,0.72,1511,65,23.24615385
"OKSS-1429",34.54844,-95.89648,1.42,141,42,3.357142857
"OKSS-1430",35.46899,-94.95436,1.82,215,40,5.375
"OKSS-1431",36.76012,-96.28956,6.95,490,47,10.42553191
"OKSS-1444",34.85096,-97.91055,4.42,721,238,3.029411765
"ORLS-1093",45.56444,-123.5731,0.64,183,46,3.97826087
"ORLS-1095",45.2628,-118.3998,1.6,175,76,2.302631579
"ORLS-1096",42.04489,-118.4328,3.21,256,210,1.219047619
"ORLS-1097",44.79838,-122.4811,0.49,46,26,1.769230769
"ORLS-1104",45.8587,-117.6355,1.78,150,133,1.127819549
"ORLS-1109",45.74761,-123.4891,0.64,218,31,7.032258065
"ORLS-1110",43.50132,-121.7753,1.11,99,33,3
"ORR9-0901",43.99127,-123.6643,1.92,106,43,2.465116279
"ORR9-0902",45.39535,-122.1494,0.57,128,100,1.28
"ORR9-0903",44.16795,-122.2497,0.36,31,106,0.29245283
"ORR9-0904",42.41324,-123.158,2.14,609,164,3.713414634
"ORR9-0905",44.49071,-122.8137,0.86,70.5,27.5,2.566312997
"ORR9-0906",44.37292,-123.8363,1.29,358,46,7.782608696
"ORR9-0907",45.16978,-120.4823,2.41,184,87,2.114942529
"ORR9-0908",43.31057,-123.2115,0.78,86,92,0.934782609
"ORR9-0909",45.57558,-116.4875,2,1008,88,11.45454545
"ORR9-0910",44.24753,-120.8595,4.23,296,139,2.129496403
"ORR9-0911",44.06547,-123.1063,1,106,62,1.709677419
"ORR9-0912",45.48478,-122.9599,1.68,426.5,118.5,3.568428282
"ORR9-0913",42.46206,-121.4688,1.43,143,81,1.765432099
